ROLL_NO,REGISTRATION_NUMBER,GENDER,STRATUM,SCHOOL_NAT,SCHOOL_TYPE,DSBDA,CC,AI,WT,EM-3,ACADEMIC_PROGRAM,TOTAL_MARKS
7188,SB11201320160179,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,76,71,82,87,82,CIVIL ENGINEERING,398
7189,SB11201320160248,M,Stratum 3,PRIVATE,TECHNICAL,55,64,60,66,42,CIVIL ENGINEERING,287
7190,SB11201320160273,F,Stratum 1,PUBLIC,ACADEMIC,63,57,62,60,59,CHEMICAL ENGINEERING,301
7191,SB11201320160617,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,71,69,67,70,58,INDUSTRIAL ENGINEERING,335
7192,SB11201320160697,M,Stratum 2,PUBLIC,ACADEMIC,56,45,46,34,48,INDUSTRIAL ENGINEERING,229
7193,SB11201320160718,F,Stratum 3,PRIVATE,ACADEMIC,58,61,58,60,72,INDUSTRIAL ENGINEERING,309
7194,SB11201320160783,F,Stratum 2,PUBLIC,ACADEMIC,61,51,60,55,42,INDUSTRIAL ENGINEERING,269
7195,SB11201320160863,M,Stratum 3,PRIVATE,ACADEMIC,82,77,73,87,76,INDUSTRIAL ENGINEERING,395
7196,SB11201320161232,M,Stratum 2,PUBLIC,TECHNICAL,55,46,51,58,49,CIVIL ENGINEERING,259
7197,SB11201320161327,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,50,58,43,52,46,INDUSTRIAL ENGINEERING,249
7198,SB11201320161349,M,Stratum 4,PRIVATE,ACADEMIC,57,69,70,65,80,MECHANICAL ENGINEERING,341
7199,SB11201320161369,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,50,55,48,58,50,CIVIL ENGINEERING,261
7200,SB11201320161422,F,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,86,74,91,77,65,CIVIL ENGINEERING,393
7201,SB11201320161536,M,Stratum 4,PRIVATE,ACADEMIC,81,81,100,87,82,ELECTRONIC ENGINEERING,431
7202,SB11201320161554,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,63,59,62,74,49,CIVIL ENGINEERING,307
7203,SB11201320161613,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,57,58,58,61,49,CIVIL ENGINEERING,283
7204,SB11201320161656,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,46,59,56,65,48,INDUSTRIAL ENGINEERING,274
7205,SB11201320161681,M,Stratum 1,PUBLIC,ACADEMIC,69,37,54,58,52,INDUSTRIAL ENGINEERING,270
7206,SB11201320161784,F,Stratum 3,PRIVATE,ACADEMIC,61,62,56,62,54,INDUSTRIAL ENGINEERING,295
7207,SB11201320161839,M,Stratum 1,PUBLIC,TECHNICAL,67,62,51,57,65,CIVIL ENGINEERING,302
7208,SB11201320161870,M,Stratum 3,PRIVATE,ACADEMIC,53,48,45,48,49,INDUSTRIAL ENGINEERING,243
7209,SB11201320161963,F,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,48,42,50,52,52,INDUSTRIAL ENGINEERING,244
7210,SB11201320162142,M,Stratum 2,PUBLIC,TECHNICAL,67,62,77,63,53,ELECTRONIC ENGINEERING,322
7211,SB11201320162191,F,Stratum 2,PRIVATE,TECHNICAL,64,62,58,60,68,INDUSTRIAL ENGINEERING,312
7212,SB11201320162248,F,Stratum 3,PRIVATE,ACADEMIC,53,69,70,69,67,CIVIL ENGINEERING,328
7213,SB11201320162487,M,Stratum 2,PRIVATE,ACADEMIC,48,48,49,55,49,INDUSTRIAL ENGINEERING,249
7214,SB11201320162490,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,55,66,56,71,54,CIVIL ENGINEERING,302
7215,SB11201320162544,M,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,39,43,43,42,42,INDUSTRIAL ENGINEERING,209
7216,SB11201320162595,M,Stratum 2,PUBLIC,ACADEMIC,48,64,65,63,58,ELECTRONIC ENGINEERING,298
7217,SB11201320162640,M,Stratum 2,PRIVATE,ACADEMIC,63,59,67,70,53,ELECTRONIC ENGINEERING,312
7218,SB11201320162663,M,Stratum 3,PRIVATE,ACADEMIC,66,58,54,70,52,CHEMICAL ENGINEERING,300
7219,SB11201320162739,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,60,69,73,63,55,CATASTRAL ENGINEERING AND GEODESY,320
7220,SB11201320162756,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,81,64,45,67,90,CIVIL ENGINEERING,347
7221,SB11201320163161,M,Stratum 3,PUBLIC,TECHNICAL,58,45,52,60,53,CIVIL ENGINEERING,268
7222,SB11201320163172,F,Stratum 3,PUBLIC,TECHNICAL,82,44,43,56,54,CIVIL ENGINEERING,279
7223,SB11201320163222,M,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,53,56,60,61,57,INDUSTRIAL ENGINEERING,287
7224,SB11201320163227,M,Stratum 2,PUBLIC,TECHNICAL,60,48,47,52,50,INDUSTRIAL ENGINEERING,257
7225,SB11201320163264,M,Stratum 1,PUBLIC,TECHNICAL/ACADEMIC,64,66,73,74,59,CHEMICAL ENGINEERING,336
7226,SB11201320163272,F,Stratum 4,PUBLIC,TECHNICAL/ACADEMIC,64,64,60,69,70,INDUSTRIAL ENGINEERING,327
7227,SB11201320163406,M,Stratum 1,PUBLIC,ACADEMIC,96,66,65,66,58,CIVIL ENGINEERING,351
7228,SB11201320163425,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,43,57,52,48,52,INDUSTRIAL ENGINEERING,252
7229,SB11201320163666,M,Stratum 2,PUBLIC,ACADEMIC,49,51,44,30,53,INDUSTRIAL ENGINEERING,227
7230,SB11201320163756,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,73,56,56,56,54,INDUSTRIAL ENGINEERING,295
7231,SB11201320163811,F,Stratum 1,PUBLIC,ACADEMIC,65,63,60,69,58,INDUSTRIAL ENGINEERING,315
7232,SB11201320164058,M,Stratum 1,PUBLIC,ACADEMIC,65,49,44,58,48,INDUSTRIAL ENGINEERING,264
7233,SB11201320164065,M,Stratum 2,PRIVATE,ACADEMIC,58,66,70,64,72,MECHATRONICS ENGINEERING,330
7234,SB11201320164107,F,Stratum 3,PRIVATE,ACADEMIC,73,64,60,69,62,INDUSTRIAL ENGINEERING,328
7235,SB11201320164110,M,Stratum 3,PRIVATE,ACADEMIC,87,71,91,87,82,MECHANICAL ENGINEERING,418
7236,SB11201320164221,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,64,52,47,61,65,INDUSTRIAL ENGINEERING,289
7237,SB11201320164264,M,Stratum 2,PRIVATE,ACADEMIC,100,75,70,87,85,MECHANICAL ENGINEERING,417
7238,SB11201320164605,F,Stratum 3,PRIVATE,ACADEMIC,61,64,60,64,62,CIVIL ENGINEERING,311
7239,SB11201320164629,F,Stratum 3,PRIVATE,ACADEMIC,71,69,67,74,60,INDUSTRIAL ENGINEERING,341
7240,SB11201320164677,F,Stratum 2,PUBLIC,ACADEMIC,56,64,56,62,59,INDUSTRIAL ENGINEERING,297
7241,SB11201320164865,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,74,72,70,74,60,INDUSTRIAL ENGINEERING,350
7242,SB11201320164891,F,Stratum 2,PUBLIC,TECHNICAL,87,77,77,72,85,ELECTRONIC ENGINEERING,398
7243,SB11201320164987,M,Stratum 2,PUBLIC,ACADEMIC,76,74,56,74,76,INDUSTRIAL ENGINEERING,356
7244,SB11201320164988,M,Stratum 3,PUBLIC,ACADEMIC,64,62,58,67,52,INDUSTRIAL ENGINEERING,303
7245,SB11201320165010,M,Stratum 4,PUBLIC,ACADEMIC,66,64,64,53,46,INDUSTRIAL ENGINEERING,293
7246,SB11201320165154,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,65,69,60,67,78,TRANSPORTATION AND ROAD ENGINEERING,339
7247,SB11201320165460,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,57,60,58,69,74,INDUSTRIAL ENGINEERING,318
7248,SB11201320165751,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,58,57,62,55,54,CIVIL ENGINEERING,286
7249,SB11201320165771,M,Stratum 2,PUBLIC,ACADEMIC,46,38,42,58,40,ELECTRONIC ENGINEERING,224
7250,SB11201320165799,M,Stratum 3,PRIVATE,ACADEMIC,76,64,58,69,68,INDUSTRIAL ENGINEERING,335
7251,SB11201320166017,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,77,71,82,72,72,CIVIL ENGINEERING,374
7252,SB11201320166124,M,Stratum 3,PUBLIC,ACADEMIC,53,64,65,63,65,INDUSTRIAL ENGINEERING,310
7253,SB11201320166130,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,65,54,45,55,49,CIVIL ENGINEERING,268
7254,SB11201320166199,M,Stratum 4,PRIVATE,ACADEMIC,68,68,70,72,60,MECHATRONICS ENGINEERING,338
7255,SB11201320166239,M,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,71,81,70,72,64,CIVIL ENGINEERING,358
7256,SB11201320166255,F,Stratum 2,PUBLIC,ACADEMIC,57,62,77,58,50,INDUSTRIAL ENGINEERING,304
7257,SB11201320166309,M,Stratum 2,PUBLIC,ACADEMIC,73,69,67,71,62,ELECTRIC ENGINEERING,342
7258,SB11201320166670,M,Stratum 1,PUBLIC,ACADEMIC,57,46,55,55,50,CIVIL ENGINEERING,263
7259,SB11201320166718,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,61,53,56,57,46,INDUSTRIAL ENGINEERING,273
7260,SB11201320166780,M,Stratum 3,PRIVATE,ACADEMIC,73,57,62,56,55,ELECTRONIC ENGINEERING,303
7261,SB11201320166802,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,56,52,62,58,52,MECHANICAL ENGINEERING,280
7262,SB11201320166874,M,Stratum 3,PUBLIC,ACADEMIC,55,38,58,55,54,INDUSTRIAL ENGINEERING,260
7263,SB11201320167057,M,Stratum 3,PUBLIC,ACADEMIC,63,72,73,63,59,CHEMICAL ENGINEERING,330
7264,SB11201320167347,F,Stratum 3,PUBLIC,ACADEMIC,61,58,58,59,50,CIVIL ENGINEERING,286
7265,SB11201320167378,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,51,59,60,57,57,CIVIL ENGINEERING,284
7266,SB11201320167455,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,54,59,54,54,57,CIVIL ENGINEERING,278
7267,SB11201320167544,M,Stratum 1,PUBLIC,ACADEMIC,55,60,60,66,67,CIVIL ENGINEERING,308
7268,SB11201320167545,F,Stratum 2,PUBLIC,ACADEMIC,68,56,58,70,65,CIVIL ENGINEERING,317
7269,SB11201320167607,M,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,49,45,52,55,52,CIVIL ENGINEERING,253
7270,SB11201320167761,M,Stratum 1,PUBLIC,ACADEMIC,64,51,56,70,42,CIVIL ENGINEERING,283
7271,SB11201320167886,M,Stratum 1,PUBLIC,TECHNICAL,73,66,65,63,40,ELECTRONIC ENGINEERING,307
7272,SB11201320167891,F,Stratum 2,PUBLIC,TECHNICAL,65,63,56,65,44,INDUSTRIAL ENGINEERING,293
7273,SB11201320167895,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,82,65,73,77,68,CIVIL ENGINEERING,365
7274,SB11201320168092,M,Stratum 3,PRIVATE,ACADEMIC,66,64,67,70,59,ELECTRONIC ENGINEERING,326
7275,SB11201320168093,M,Stratum 2,PUBLIC,ACADEMIC,51,55,54,52,50,ELECTRONIC ENGINEERING,262
7276,SB11201320168162,M,Stratum 1,PUBLIC,ACADEMIC,63,48,55,56,53,ELECTRONIC ENGINEERING,275
7277,SB11201320168195,F,Stratum 2,PUBLIC,TECHNICAL,62,66,62,71,50,INDUSTRIAL ENGINEERING,311
7278,SB11201320168412,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,48,49,40,52,50,INDUSTRIAL ENGINEERING,239
7279,SB11201320168455,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,58,59,58,58,40,INDUSTRIAL ENGINEERING,273
7280,SB11201320168573,M,Stratum 3,PRIVATE,ACADEMIC,64,62,55,63,52,MECHANICAL ENGINEERING,296
7281,SB11201320168619,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,60,62,60,60,54,INDUSTRIAL ENGINEERING,296
7282,SB11201320168704,M,Stratum 3,PRIVATE,ACADEMIC,45,51,48,46,52,INDUSTRIAL ENGINEERING,242
7283,SB11201320168744,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,53,56,58,58,58,CIVIL ENGINEERING,283
7284,SB11201320168899,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,48,54,47,46,49,INDUSTRIAL ENGINEERING,244
7285,SB11201320169067,M,Stratum 2,PRIVATE,ACADEMIC,81,81,67,67,50,CIVIL ENGINEERING,346
7286,SB11201320169119,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,57,58,67,70,42,INDUSTRIAL ENGINEERING,294
7287,SB11201320169187,M,Stratum 1,PUBLIC,TECHNICAL/ACADEMIC,49,43,43,50,46,INDUSTRIAL ENGINEERING,231
7288,SB11201320169238,F,Stratum 1,PUBLIC,TECHNICAL/ACADEMIC,45,59,60,62,59,ELECTRONIC ENGINEERING,285
7289,SB11201320169534,M,Stratum 2,PRIVATE,ACADEMIC,60,62,55,58,60,CIVIL ENGINEERING,295
7290,SB11201320169813,M,Stratum 1,PUBLIC,TECHNICAL/ACADEMIC,58,52,56,62,48,MECHANICAL ENGINEERING,276
7291,SB11201320170041,M,Stratum 1,PUBLIC,TECHNICAL,55,54,55,63,49,MECHANICAL ENGINEERING,276
7292,SB11201320170238,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,62,66,62,65,76,MECHANICAL ENGINEERING,331
7293,SB11201320170268,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,69,56,56,66,58,INDUSTRIAL ENGINEERING,305
7294,SB11201320170290,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,47,52,41,59,43,INDUSTRIAL ENGINEERING,242
7295,SB11201320170472,F,Stratum 3,PUBLIC,ACADEMIC,48,66,58,57,54,INDUSTRIAL ENGINEERING,283
7296,SB11201320170533,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,72,70,73,82,82,MECHANICAL ENGINEERING,379
7297,SB11201320170576,F,Stratum 3,PRIVATE,ACADEMIC,74,75,64,63,82,CHEMICAL ENGINEERING,358
7298,SB11201320170771,M,Stratum 1,PUBLIC,ACADEMIC,56,61,54,65,52,MECHANICAL ENGINEERING,288
7299,SB11201320170946,M,Stratum 2,PUBLIC,ACADEMIC,43,48,55,51,48,INDUSTRIAL ENGINEERING,245
7300,SB11201320171082,M,Stratum 1,PUBLIC,ACADEMIC,49,45,44,46,36,INDUSTRIAL ENGINEERING,220
7301,SB11201320171314,F,Stratum 3,PRIVATE,ACADEMIC,49,45,45,49,48,INDUSTRIAL ENGINEERING,236
7302,SB11201320171418,M,Stratum 2,PUBLIC,ACADEMIC,46,38,46,48,46,INDUSTRIAL ENGINEERING,224
7303,SB11201320171598,M,Stratum 3,PRIVATE,ACADEMIC,52,52,60,61,53,INDUSTRIAL ENGINEERING,278
7304,SB11201320171622,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,58,52,62,58,65,CIVIL ENGINEERING,295
7305,SB11201320171638,M,Stratum 3,PRIVATE,ACADEMIC,51,53,52,48,44,CIVIL ENGINEERING,248
7306,SB11201320171747,M,Stratum 3,PUBLIC,ACADEMIC,74,59,70,67,55,INDUSTRIAL ENGINEERING,325
7307,SB11201320171810,F,Stratum 1,PUBLIC,ACADEMIC,67,87,77,81,54,CIVIL ENGINEERING,366
7308,SB11201320171845,F,Stratum 2,PUBLIC,ACADEMIC,73,61,60,72,49,ELECTRONIC ENGINEERING,315
7309,SB11201320172084,F,Stratum 2,PRIVATE,ACADEMIC,65,66,60,62,76,CIVIL ENGINEERING,329
7310,SB11201320172300,F,Stratum 6,PRIVATE,ACADEMIC,58,65,62,58,80,CHEMICAL ENGINEERING,323
7311,SB11201320172397,F,Stratum 2,PUBLIC,ACADEMIC,56,61,67,62,58,CIVIL ENGINEERING,304
7312,SB11201320172540,F,Stratum 3,PRIVATE,ACADEMIC,53,48,51,51,68,INDUSTRIAL ENGINEERING,271
7313,SB11201320172777,F,Stratum 4,PRIVATE,ACADEMIC,68,53,52,65,68,MECHANICAL ENGINEERING,306
7314,SB11201320172784,M,Stratum 4,PRIVATE,ACADEMIC,63,68,73,70,70,MECHANICAL ENGINEERING,344
7315,SB11201320172790,F,Stratum 3,PRIVATE,ACADEMIC,77,63,52,65,58,INDUSTRIAL ENGINEERING,315
7316,SB11201320172801,F,Stratum 2,PUBLIC,TECHNICAL,49,45,52,57,43,INDUSTRIAL ENGINEERING,246
7317,SB11201320172859,F,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,74,81,77,87,53,ELECTRIC ENGINEERING,372
7318,SB11201320172863,M,Stratum 2,PRIVATE,ACADEMIC,63,64,60,75,55,CHEMICAL ENGINEERING,317
7319,SB11201320172936,F,Stratum 2,PUBLIC,ACADEMIC,55,49,56,59,53,INDUSTRIAL ENGINEERING,272
7320,SB11201320172949,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,55,51,64,56,57,CIVIL ENGINEERING,283
7321,SB11201320172977,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,64,66,77,65,76,ELECTRONIC ENGINEERING,348
7322,SB11201320172993,F,Stratum 3,PRIVATE,ACADEMIC,58,49,52,60,55,INDUSTRIAL ENGINEERING,274
7323,SB11201320173145,F,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,69,64,77,66,53,INDUSTRIAL ENGINEERING,329
7324,SB11201320173261,M,Stratum 2,PUBLIC,ACADEMIC,40,55,46,46,42,INDUSTRIAL ENGINEERING,229
7325,SB11201320173355,M,Stratum 3,PUBLIC,ACADEMIC,64,56,58,59,46,ELECTROMECHANICAL ENGINEERING,283
7326,SB11201320173416,F,Stratum 2,PUBLIC,ACADEMIC,63,59,49,62,42,CIVIL ENGINEERING,275
7327,SB11201320173502,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,57,53,48,47,46,CIVIL ENGINEERING,251
7328,SB11201320173542,F,Stratum 1,PRIVATE,ACADEMIC,42,56,55,50,53,INDUSTRIAL ENGINEERING,256
7329,SB11201320174239,M,Stratum 3,PRIVATE,ACADEMIC,60,60,73,63,58,CIVIL ENGINEERING,314
7330,SB11201320174329,F,Stratum 1,PRIVATE,TECHNICAL/ACADEMIC,53,54,51,57,46,INDUSTRIAL ENGINEERING,261
7331,SB11201320174669,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,47,59,53,64,53,CIVIL ENGINEERING,276
7332,SB11201320174721,M,Stratum 2,PRIVATE,ACADEMIC,100,81,91,95,90,MECHANICAL ENGINEERING,457
7333,SB11201320174932,M,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,74,82,100,81,82,CHEMICAL ENGINEERING,419
7334,SB11201320174992,F,Stratum 3,PRIVATE,ACADEMIC,60,66,73,78,95,INDUSTRIAL ENGINEERING,372
7335,SB11201320175011,M,Stratum 3,PUBLIC,ACADEMIC,64,62,73,65,60,MECHANICAL ENGINEERING,324
7336,SB11201320175212,F,Stratum 3,PRIVATE,ACADEMIC,48,62,55,57,53,INDUSTRIAL ENGINEERING,275
7337,SB11201320175231,M,Stratum 3,PRIVATE,ACADEMIC,64,64,73,60,67,CIVIL ENGINEERING,328
7338,SB11201320175256,F,Stratum 4,PRIVATE,ACADEMIC,60,58,43,55,49,CHEMICAL ENGINEERING,265
7339,SB11201320175273,M,Stratum 3,PRIVATE,ACADEMIC,57,58,55,63,48,CIVIL ENGINEERING,281
7340,SB11201320175488,M,Stratum 5,PRIVATE,ACADEMIC,88,95,100,75,95,ELECTRIC ENGINEERING,453
7341,SB11201320175549,F,Stratum 3,PRIVATE,ACADEMIC,60,54,56,56,72,INDUSTRIAL ENGINEERING,298
7342,SB11201320175623,F,Stratum 3,PRIVATE,ACADEMIC,82,77,100,82,90,CHEMICAL ENGINEERING,431
7343,SB11201320175679,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,82,71,67,70,62,ELECTRONIC ENGINEERING,352
7344,SB11201320175755,M,Stratum 3,PRIVATE,ACADEMIC,50,56,58,52,39,INDUSTRIAL ENGINEERING,255
7345,SB11201320175961,M,Stratum 2,PUBLIC,ACADEMIC,62,69,77,69,46,INDUSTRIAL ENGINEERING,323
7346,SB11201320176043,F,Stratum 2,PUBLIC,ACADEMIC,54,78,73,71,55,INDUSTRIAL ENGINEERING,331
7347,SB11201320176117,M,Stratum 2,PUBLIC,ACADEMIC,63,52,45,68,64,CIVIL ENGINEERING,292
7348,SB11201320176248,M,Stratum 3,PUBLIC,ACADEMIC,67,62,62,63,78,MECHANICAL ENGINEERING,332
7349,SB11201320176739,M,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,74,96,82,87,57,INDUSTRIAL ENGINEERING,396
7350,SB11201320176771,M,Stratum 1,PUBLIC,TECHNICAL,57,58,58,57,40,MECHANICAL ENGINEERING,270
7351,SB11201320176869,F,Stratum 5,PRIVATE,ACADEMIC,65,51,62,69,78,CHEMICAL ENGINEERING,325
7352,SB11201320176895,M,Stratum 3,PRIVATE,ACADEMIC,77,82,90,81,90,INDUSTRIAL ENGINEERING,420
7353,SB11201320176937,M,Stratum 4,PRIVATE,ACADEMIC,82,78,70,74,85,CIVIL ENGINEERING,389
7354,SB11201320176999,F,Stratum 4,PRIVATE,ACADEMIC,76,74,91,77,100,CIVIL ENGINEERING,418
7355,SB11201320177238,M,Stratum 4,PRIVATE,ACADEMIC,81,69,82,69,95,INDUSTRIAL ENGINEERING,396
7356,SB11201320177253,F,Stratum 1,PRIVATE,ACADEMIC,50,69,51,52,57,INDUSTRIAL ENGINEERING,279
7357,SB11201320177461,F,Stratum 3,PUBLIC,ACADEMIC,82,72,70,71,68,INDUSTRIAL ENGINEERING,363
7358,SB11201320177562,M,Stratum 3,PUBLIC,ACADEMIC,81,66,70,78,78,INDUSTRIAL ENGINEERING,373
7359,SB11201320177639,M,Stratum 2,PUBLIC,ACADEMIC,54,57,47,45,46,MECHANICAL ENGINEERING,249
7360,SB11201320177679,M,Stratum 3,PUBLIC,ACADEMIC,71,63,60,69,59,CIVIL ENGINEERING,322
7361,SB11201320177695,F,Stratum 3,PRIVATE,ACADEMIC,67,60,65,71,60,INDUSTRIAL ENGINEERING,323
7362,SB11201320177717,M,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,71,63,60,67,43,ELECTRIC ENGINEERING,304
7363,SB11201320177804,M,Stratum 2,PRIVATE,ACADEMIC,97,62,54,96,68,INDUSTRIAL ENGINEERING,377
7364,SB11201320177829,F,Stratum 4,PUBLIC,TECHNICAL,61,65,52,60,49,CIVIL ENGINEERING,287
7365,SB11201320177842,F,Stratum 2,PUBLIC,TECHNICAL,60,54,49,58,44,INDUSTRIAL ENGINEERING,265
7366,SB11201320177857,M,Stratum 3,PUBLIC,TECHNICAL,58,68,56,64,76,ELECTRONIC ENGINEERING,322
7367,SB11201320177941,M,Stratum 1,PUBLIC,TECHNICAL/ACADEMIC,58,51,52,51,50,MECHANICAL ENGINEERING,262
7368,SB11201320178111,M,Stratum 1,PUBLIC,TECHNICAL,43,46,49,55,42,INDUSTRIAL ENGINEERING,235
7369,SB11201320178330,F,Stratum 3,PRIVATE,ACADEMIC,63,59,47,59,60,CHEMICAL ENGINEERING,288
7370,SB11201320178351,M,Stratum 1,PUBLIC,ACADEMIC,61,47,42,45,44,MECHANICAL ENGINEERING,239
7371,SB11201320178358,M,Stratum 1,PUBLIC,ACADEMIC,58,49,60,57,52,MECHANICAL ENGINEERING,276
7372,SB11201320178645,M,Stratum 2,PUBLIC,ACADEMIC,59,53,70,68,44,CIVIL ENGINEERING,294
7373,SB11201320178889,M,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,74,67,62,65,74,CIVIL ENGINEERING,342
7374,SB11201320178898,M,Stratum 2,PUBLIC,ACADEMIC,73,66,65,72,53,MECHANICAL ENGINEERING,329
7375,SB11201320179249,M,Stratum 1,PUBLIC,TECHNICAL/ACADEMIC,77,61,60,63,57,ELECTRIC ENGINEERING,318
7376,SB11201320179366,M,Stratum 1,PUBLIC,ACADEMIC,70,64,62,70,58,INDUSTRIAL ENGINEERING,324
7377,SB11201320179490,F,Stratum 1,PRIVATE,TECHNICAL/ACADEMIC,67,54,62,71,53,CIVIL ENGINEERING,307
7378,SB11201320179600,M,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,77,66,73,66,74,CIVIL ENGINEERING,356
7379,SB11201320179679,F,Stratum 3,PUBLIC,TECHNICAL,58,59,58,49,50,INDUSTRIAL ENGINEERING,274
7380,SB11201320179715,F,Stratum 3,PUBLIC,TECHNICAL,60,54,65,54,54,CIVIL ENGINEERING,287
7381,SB11201320179743,F,Stratum 2,PRIVATE,ACADEMIC,61,63,58,67,72,INDUSTRIAL ENGINEERING,321
7382,SB11201320179755,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,74,69,77,62,59,CIVIL ENGINEERING,341
7383,SB11201320179758,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,45,45,62,53,48,INDUSTRIAL ENGINEERING,253
7384,SB11201320179767,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,65,61,54,67,53,INDUSTRIAL ENGINEERING,300
7385,SB11201320179853,F,Stratum 3,PRIVATE,ACADEMIC,53,53,56,64,62,INDUSTRIAL ENGINEERING,288
7386,SB11201320179857,F,Stratum 3,PRIVATE,ACADEMIC,51,61,62,65,58,INDUSTRIAL ENGINEERING,297
7387,SB11201320179892,F,Stratum 3,PRIVATE,ACADEMIC,65,59,67,67,58,CHEMICAL ENGINEERING,316
7388,SB11201320180011,M,Stratum 3,PRIVATE,TECHNICAL,48,50,56,54,48,INDUSTRIAL ENGINEERING,256
7389,SB11201320180016,M,Stratum 3,PUBLIC,ACADEMIC,52,59,56,53,44,CIVIL ENGINEERING,264
7390,SB11201320180022,M,Stratum 3,PUBLIC,ACADEMIC,77,65,67,77,70,INDUSTRIAL ENGINEERING,356
7391,SB11201320180110,M,Stratum 4,PRIVATE,ACADEMIC,56,57,65,55,70,INDUSTRIAL ENGINEERING,303
7392,SB11201320180111,M,Stratum 3,PUBLIC,ACADEMIC,68,52,55,66,68,CIVIL ENGINEERING,309
7393,SB11201320180195,F,Stratum 1,PRIVATE,ACADEMIC,81,74,73,100,78,INDUSTRIAL ENGINEERING,406
7394,SB11201320180200,F,Stratum 2,PRIVATE,ACADEMIC,58,56,67,72,57,INDUSTRIAL ENGINEERING,310
7395,SB11201320180210,F,Stratum 2,PRIVATE,ACADEMIC,81,69,62,63,78,INDUSTRIAL ENGINEERING,353
7396,SB11201320180212,M,Stratum 3,PRIVATE,ACADEMIC,45,69,62,55,74,INDUSTRIAL ENGINEERING,305
7397,SB11201320180214,F,Stratum 4,PRIVATE,ACADEMIC,53,60,62,59,82,MECHANICAL ENGINEERING,316
7398,SB11201320180230,M,Stratum 2,PRIVATE,ACADEMIC,64,71,77,81,90,MECHANICAL ENGINEERING,383
7399,SB11201320180231,F,Stratum 3,PRIVATE,ACADEMIC,60,56,47,55,65,INDUSTRIAL ENGINEERING,283
7400,SB11201320180467,F,Stratum 3,PRIVATE,TECHNICAL,53,56,56,46,52,CIVIL ENGINEERING,263
